Bảng 1
Drug ;Available in liquid form;Gastric Feeding Tube (Recommendation) ;Volume to Mix;Time (minutes);Volume to Rinse; Jejunal Feeding Tube (Recommendation);Volume to Mix;Time (minutes);Volume to Rinse;;;;;;;;;;
Abilify Mycite Kits;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Absorica, Absorica LD;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Abstral ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Acetaminophen ER Tablet;Yes;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Aciphex ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Aciphex Sprinkle ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Rabeprazole DR capsule;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Rabeprazole DR Tablet;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Acticlate  Capsule;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Doxycycline Hyclate;No;Dissolves quickly, require gastric acid dissolution;10;1;20;Not for Jejunal FT;-;-;-;;;;;;;;;;
Doxycycline Delayed Released Tablet;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Doryx;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Actoplus Met XR;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
 Piglitazone and Metformin;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Risedronate Sodium;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Actonel ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Adalat CC ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Nifedipine Capsule;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Nifedipine liquid-filled capsule;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Nifedipine ER Tablet;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Procardia;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
