MediCrush1017.xlsx - Sheet1
Drug ;Dose Form;Comment;RPH1;Date ;Reference;Available in liquid form;Gastric Feeding Tube (Recommendation) ;Volume to Mix;Time (minutes);Volume to Rinse; Jejunal Feeding Tube (Recommendation);Volume to Mix;Time (minutes);Volume to Rinse
Abilify Mycite Kits;Tablet;Tablet with sensor. Drug-device combination. Do not divide, crush or chew. Swallow the tablet whole;HN;7/25/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e8787c3f-5e41-42d1-8091-44b56346620f;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Absorica, Absorica LD;Capsule;"Mucous membrane irritant, teratogenic potenital. Must be swallowed whole and not 
chewed, cut, or crushed";HN;7/25/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ef0cff8-19c1-4441-b780-fca6c7ee1615;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Abstral ;Sublingual Tablet;SL Tablet , do not suck, chew, swallow. Place ABSTRAL tablets on the floor of the mouth directly under the tongue immediately after removal from the blister unit;HN;7/25/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f969e2bc-6297-4e29-89d3-a3685a2c7c6b;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Acetaminophen ER Tablet;Extended Release tablet;Extended Released Tablet.  Do not crush, chew, split, or dissolve. Must be swallow whole ;HN;7/26/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=179c221d-c099-400c-b3ac-124e26947620&utm_source=chatgpt.com;Yes;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Aciphex ;Delayed released tablet;Do not Chew, crush or Split tablet. Swallow Rabeprazole sodium tablet whole;HN;7/25/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5d103551-978f-472a-9c62-51e6e4dea068;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Aciphex Sprinkle ;Delayed released Capsule;Do not swallow the whole capsule. Open capsule and spinkle entire contents on small amount of soft food or empty contents into a small amout of liquid. Do not chew ;HN;07/26/25;https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204736;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Rabeprazole DR capsule;Delayed Released Capsule;Do not swallow the whole capsule. Open capsule and spinkle entire contents on small amount of soft food or empty contents into a small amout of liquid. Do not chew ;;;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5b1b1530-abc8-487a-b673-2b35cbf14e0c;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Rabeprazole DR Tablet;Delayed Released Tablet;Do not Chew, crush or Split tablet. Swallow Rabeprazole sodium tablet whole;HN;7/25/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=951caefe-6e18-48ff-9567-beb545b09c25;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Acticlate  Capsule;Capsule;Do not break, open, crushm dissolve or chew capsule. Swallow capsule whole;HN;7/25/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5e96d473-63dd-4446-88cf-eef2cd3339f0;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Doxycycline Hyclate;Tablet;Manufacture does not have recommendation. May crushed if difficulty swallow tablet;HN;9/13/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/050006s096,050007s040,050480s064,050533s051lbl.pdf;No;Dissolves quickly, require gastric acid dissolution;10;1;20;Not for Jejunal FT;-;-;-
Doxycycline Delayed Released Tablet;Delayed Released Tablet;Do not chew or crush tablets;HN;9/13/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050795s030lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Doryx;Delayed Released Tablet;Do not chew or crush tablets;HN;9/13/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050795s030lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Actoplus Met XR;Extended Released Tablet;"must be swallowed whole and not 
chewed, cut, or crushed";HN;9/13/2025;https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022024;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
 Piglitazone and Metformin;Extended Released Tablet;"must be swallowed whole and not 
chewed, cut, or crushed";HN;9/13/2025;https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=022024;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Risedronate Sodium;Tablet;Irritant.  Swallow whole tablet;HN;9/13/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020835s052lbl.pdf;No;Data not available;;;;Data not available;;;
Actonel ;Tablet;Irritant.  Swallow whole tablet;HN;9/13/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020835s052lbl.pdf;No;Data not available;;;;Data not available;;;
Adalat CC ;Extended Release tablet;Adalat CC is an extended release dosage form and tablets should be swallowed whole, not bitten or divided.;HN;07/26/25;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d247bfb-8309-4cb8-847c-b4619a3d36d8;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Nifedipine Capsule;Capsule;Do not open, crush. Swallow whole;HN;07/26/25;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0cc236dc-95fa-49cc-aeb8-6590de157585;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Nifedipine liquid-filled capsule;Liquid-filled capsule;Do not open, crush. Swallow whole;HN;07/26/25;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5733e038-7cb5-434b-aa8e-abb25e6252c9;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Nifedipine ER Tablet;Extended Release tablet;Nifedipine extended-release tablets are an extended release dosage form and tablets should be swallowed whole, not bitten or divided;HN;07/26/25;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=eb70b7ff-f9f0-41d0-901a-f4c04ae9ed46;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
